Data,Nome do Produto,Quantidade,Lucro
2023-12-14,Produto D,10,693.24
2023-09-07,Produto C,70,445.71
2022-08-26,Produto C,18,84.92
2023-02-17,Produto A,4,969.73
2023-11-12,Produto B,63,82.59
2024-06-04,Produto A,82,482.42
2023-11-29,Produto C,7,876.97
2023-01-01,Produto C,39,523.48
2023-05-03,Produto D,75,771.99
2024-04-16,Produto C,70,18.06
2023-06-01,Produto D,44,201.29
2022-10-30,Produto D,44,421.55
2023-03-30,Produto C,26,688.24
2022-09-04,Produto D,85,155.59
2023-04-29,Produto C,85,923.08
2023-03-23,Produto B,54,112.32
2023-06-06,Produto A,88,763.03
2024-05-12,Produto D,42,773.58
2023-04-22,Produto B,83,37.65
2022-09-29,Produto A,55,574.26
2024-01-22,Produto B,13,495.81
2022-07-20,Produto C,30,874.8
2024-05-07,Produto A,85,151.94
2023-06-07,Produto B,62,226.6
2022-07-25,Produto D,76,591.06
2024-03-11,Produto D,84,716.57
2024-06-12,Produto C,89,558.99
2024-05-25,Produto A,4,331.99
2023-06-27,Produto B,100,421.85
2023-07-12,Produto B,24,85.78
2024-04-14,Produto B,7,274.24
2023-10-04,Produto D,41,244.09
2023-09-26,Produto B,93,16.84
2023-11-21,Produto D,71,165.32
2023-05-18,Produto A,94,96.36
2024-03-31,Produto A,24,836.35
2022-09-24,Produto C,43,285.44
2023-05-12,Produto A,93,563.9
2023-12-25,Produto B,6,351.42
2022-09-29,Produto C,50,202.73
2023-06-04,Produto D,11,852.13
2022-10-22,Produto C,27,751.24
2022-08-26,Produto D,21,449.3
2022-12-14,Produto D,23,809.82
2022-10-26,Produto C,50,510.31
2023-08-16,Produto C,49,322.58
2023-04-01,Produto A,14,469.34
2023-10-26,Produto B,73,713.83
2024-03-07,Produto C,17,276.92
2024-02-02,Produto D,29,730.9
2023-09-07,Produto C,47,338.56
2022-07-25,Produto B,54,639.6
2023-09-06,Produto D,37,499.5
2024-06-12,Produto C,27,895.97
2024-03-15,Produto B,3,515.21
2023-07-28,Produto C,82,308.11
2023-06-08,Produto C,76,665.94
2023-03-02,Produto A,78,68.68
2023-01-05,Produto D,99,977.82
2023-01-30,Produto A,47,482.94
2022-11-15,Produto B,54,105.92
2023-06-27,Produto C,48,845.45
2022-12-18,Produto A,10,989.88
2022-09-07,Produto D,68,293.37
2023-10-28,Produto A,77,809.43
2023-05-29,Produto A,41,703.65
2022-10-17,Produto D,40,479.1
2023-12-24,Produto D,96,217.33
2023-09-06,Produto D,75,486.93
2023-11-24,Produto A,36,980.19
2023-03-09,Produto A,10,128.84
2024-04-27,Produto C,9,573.89
2023-11-04,Produto A,54,250.34
2022-07-30,Produto D,70,403.15
2024-01-21,Produto D,68,294.51
2024-06-07,Produto C,73,394.71
2024-01-25,Produto A,77,398.62
2024-01-18,Produto D,19,876.93
2024-02-02,Produto D,97,980.22
2022-07-17,Produto D,92,264.17
2024-06-04,Produto C,79,233.96
2023-09-06,Produto A,90,97.7
2024-02-16,Produto B,98,867.86
2023-10-30,Produto D,20,666.36
2023-09-09,Produto A,52,369.11
2023-03-12,Produto A,23,112.9
2024-04-01,Produto D,90,281.37
2023-07-11,Produto C,24,266.18
2022-08-11,Produto D,40,164.4
2024-02-23,Produto A,64,62.71
2024-04-20,Produto A,97,259.45
2023-01-24,Produto B,9,543.86
2023-03-18,Produto D,85,546.31
2022-07-23,Produto D,42,828.1
2023-10-20,Produto C,68,732.04
2023-03-15,Produto D,55,503.27
2022-08-24,Produto C,23,550.01
2023-07-03,Produto D,47,454.47
2022-12-01,Produto C,10,691.11
2022-10-27,Produto B,85,718.94
2024-05-04,Produto A,43,536.22
2024-06-20,Produto B,77,752.8
2023-08-23,Produto C,17,708.83
2023-03-14,Produto B,9,166.96
2024-04-03,Produto B,23,490.31
2022-09-25,Produto A,3,209.43
2023-07-08,Produto D,23,866.2
2023-03-15,Produto C,57,493.15
2022-09-09,Produto B,33,943.06
2022-08-18,Produto A,74,297.09
2023-04-05,Produto B,29,147.34
2023-08-23,Produto D,7,548.97
2023-07-01,Produto D,91,810.8
2024-05-18,Produto B,7,569.6
2023-08-31,Produto A,41,352.2
2023-05-04,Produto C,25,622.06
2023-05-26,Produto C,20,838.7
2024-02-02,Produto C,65,291.46
2024-02-17,Produto D,92,41.91
2024-05-05,Produto C,82,287.83
2022-12-03,Produto C,85,762.58
2022-07-19,Produto C,99,297.36
2023-04-06,Produto D,76,359.7
2022-11-17,Produto A,50,990.89
2023-12-28,Produto B,75,825.31
2022-08-20,Produto C,29,111.16
2023-11-11,Produto B,45,921.92
2024-01-12,Produto C,2,43.68
2023-08-20,Produto B,64,692.74
2022-07-28,Produto C,55,873.7
2023-10-02,Produto B,93,242.52
2023-01-10,Produto A,55,739.52
2024-04-30,Produto A,75,692.3
2022-09-22,Produto D,37,399.63
2024-04-19,Produto D,84,514.79
2023-07-29,Produto A,99,769.17
2023-06-01,Produto A,50,477.91
2023-11-10,Produto C,64,187.89
2024-04-26,Produto D,63,903.27
2024-03-02,Produto A,89,807.32
2023-11-08,Produto B,5,358.94
2023-02-26,Produto C,52,871.03
2023-03-12,Produto C,14,193.54
2023-03-22,Produto D,9,558.91
2024-02-11,Produto A,99,835.97
2024-01-22,Produto D,21,172.16
2023-10-12,Produto B,59,636.53
2023-06-28,Produto B,93,345.13
2024-02-20,Produto D,55,87.99
2023-01-08,Produto C,3,670.85
2023-02-09,Produto D,55,336.95
2022-12-25,Produto C,21,359.81
2023-12-18,Produto C,91,76.58
2022-09-16,Produto B,8,388.68
2023-12-03,Produto B,72,318.8
2022-10-12,Produto D,18,545.46
2022-12-02,Produto A,49,537.79
2024-03-18,Produto B,48,867.72
2023-04-19,Produto A,53,132.11
2024-03-23,Produto D,87,751.45
2024-04-07,Produto B,23,162.68
2022-10-06,Produto D,29,402.23
2023-04-06,Produto C,36,906.9
2023-10-19,Produto A,56,16.41
2023-09-16,Produto B,63,399.28
2023-12-25,Produto A,93,316.23
2022-12-02,Produto C,43,108.68
2023-01-18,Produto B,87,762.69
2022-07-13,Produto A,12,149.35
2022-11-07,Produto A,6,425.69
2023-01-19,Produto B,9,310.15
2023-04-07,Produto C,84,352.85
2023-06-23,Produto C,7,202.58
2023-09-17,Produto A,8,537.6
2023-01-28,Produto C,26,324.53
2022-10-02,Produto B,92,333.65
2023-01-21,Produto A,98,149.48
2024-02-09,Produto C,69,573.29
2022-07-15,Produto C,28,904.36
2023-10-21,Produto B,64,114.23
2022-12-24,Produto A,60,576.84
2023-01-16,Produto C,34,148.31
2022-10-05,Produto A,23,739.28
2024-06-21,Produto D,68,20.49
2023-07-21,Produto B,51,987.33
2022-10-21,Produto B,83,665.13
2022-09-30,Produto D,42,647.06
2023-07-15,Produto C,28,125.69
2024-01-14,Produto D,18,809.54
2023-10-26,Produto D,82,672.37
2022-12-01,Produto C,33,120.13
2024-05-17,Produto A,40,770.98
2023-06-05,Produto A,45,929.91
2022-10-09,Produto B,37,912.3
2023-01-21,Produto D,24,82.19
2023-02-11,Produto A,73,773.18
2023-05-20,Produto B,31,451.58
2022-07-23,Produto C,16,697.17
2024-02-11,Produto D,93,916.15
2022-08-18,Produto C,15,281.13
2024-05-01,Produto C,23,493.36
2022-08-06,Produto D,24,188.8
2023-03-24,Produto B,31,610.8
2023-04-03,Produto B,87,491.46
2024-04-10,Produto D,15,906.13
2023-06-22,Produto D,14,340.08
2023-11-16,Produto B,28,992.59
2023-05-02,Produto B,13,972.49
2024-01-10,Produto C,81,809.76
2023-05-22,Produto D,64,41.9
2023-11-16,Produto B,25,168.38
2023-01-16,Produto D,21,218.56
2023-01-20,Produto C,19,322.02
2022-12-13,Produto D,39,156.93
2023-02-28,Produto D,62,21.37
2023-05-30,Produto D,39,158.51
2022-07-09,Produto A,22,742.19
2022-09-24,Produto A,4,618.95
2024-05-14,Produto A,94,305.54
2024-01-08,Produto A,64,855.38
2024-03-16,Produto A,87,98.53
2023-02-14,Produto A,73,89.84
2023-07-24,Produto A,91,546.7
2022-12-23,Produto B,8,122.4
2024-05-10,Produto A,53,577.57
2023-02-13,Produto B,33,264.1
2022-08-04,Produto C,3,629.97
2022-11-01,Produto A,55,313.26
2022-10-17,Produto A,19,989.72
2023-02-19,Produto A,53,602.6
2022-11-23,Produto C,8,448.68
2023-05-22,Produto C,26,415.59
2024-02-19,Produto C,95,253.52
2022-07-27,Produto A,57,657.67
2023-06-05,Produto A,99,993.56
2023-10-18,Produto D,2,468.87
2023-01-24,Produto C,56,761.27
2023-03-26,Produto C,5,917.72
2023-11-08,Produto D,22,985.87
2023-02-01,Produto B,83,195.37
2023-02-12,Produto C,93,35.02
2022-12-11,Produto A,92,927.59
2024-04-07,Produto D,16,102.56
2022-11-21,Produto C,36,387.25
2024-02-05,Produto B,86,382.86
2023-04-19,Produto C,33,553.74
2023-10-28,Produto B,16,76.68
2022-08-06,Produto A,30,372.22
2022-10-03,Produto A,70,286.13
2023-04-30,Produto B,26,236.06
2023-03-30,Produto D,68,417.96
2022-10-31,Produto B,65,294.31
2022-08-01,Produto C,37,151.03
2022-08-16,Produto A,29,630.1
2023-03-13,Produto D,83,488.13
2022-09-04,Produto C,23,920.05
2022-09-08,Produto B,65,223.11
2023-11-24,Produto B,54,50.52
2023-03-06,Produto B,22,491.69
2023-05-01,Produto B,69,751.79
2022-10-15,Produto A,39,75.03
2023-11-28,Produto C,71,294.95
2022-08-26,Produto D,83,812.99
2024-04-10,Produto B,76,358.08
2023-06-19,Produto B,17,539.68
2023-05-31,Produto D,66,749.58
2023-03-31,Produto D,29,436.62
2023-09-12,Produto C,32,318.34
2024-01-24,Produto D,13,373.53
2023-04-25,Produto D,63,645.13
2024-05-08,Produto D,53,958.06
2024-02-19,Produto C,86,930.4
2024-04-30,Produto C,33,421.27
2023-03-14,Produto A,86,147.88
2023-03-26,Produto A,90,947.57
2023-07-22,Produto B,60,238.99
2022-11-27,Produto B,87,334.59
2023-02-25,Produto C,93,452.09
2024-04-25,Produto A,53,945.93
2024-04-30,Produto C,43,91.94
2024-04-03,Produto C,62,433.12
2024-04-21,Produto C,43,271.62
2023-09-03,Produto C,1,443.25
2023-10-22,Produto B,15,967.56
2023-07-30,Produto C,80,197.68
2023-09-15,Produto D,62,638.78
2022-09-16,Produto C,72,665.62
2023-06-18,Produto A,9,500.54
2022-12-01,Produto A,65,503.41
2023-10-20,Produto D,98,136.01
2023-09-17,Produto B,42,772.13
2023-05-21,Produto D,97,726.19
2024-02-25,Produto C,64,612.48
2024-06-22,Produto D,9,697.43
2024-02-07,Produto D,59,193.94
2023-12-10,Produto D,40,928.49
2024-01-16,Produto D,14,747.74
2023-08-31,Produto B,31,283.34
2024-04-18,Produto D,69,76.64
2023-03-24,Produto B,31,521.69
2023-04-16,Produto B,99,65.22
2023-01-11,Produto A,75,301.26
2023-10-06,Produto A,38,699.35
2022-07-17,Produto B,4,745.81
2023-10-26,Produto B,62,704.53
2024-04-09,Produto A,15,910.93
2023-11-26,Produto D,55,771.94
2023-08-16,Produto C,17,389.92
2024-02-15,Produto C,94,682.52
2024-04-15,Produto B,60,955.91
2023-01-03,Produto B,44,471.46
2023-11-17,Produto B,97,501.92
2024-06-05,Produto D,60,31.43
2022-10-26,Produto B,38,793.94
2023-11-06,Produto C,38,709.04
2023-12-19,Produto A,16,613.93
2024-02-01,Produto B,94,658.67
2023-11-28,Produto A,84,859.93
2022-07-18,Produto C,25,758.49
2023-01-04,Produto D,2,32.95
2023-10-26,Produto C,35,631.92
2023-02-20,Produto C,81,687.24
2022-08-13,Produto D,21,936.41
2023-07-18,Produto A,22,695.9
2022-09-26,Produto A,76,432.62
2024-02-13,Produto A,48,149.71
2022-11-04,Produto A,1,668.98
2022-10-03,Produto C,73,900.14
2023-07-03,Produto B,36,374.2
2023-03-12,Produto D,87,797.79
2023-05-14,Produto A,11,135.18
2023-07-15,Produto B,14,557.65
2024-06-10,Produto B,2,20.42
2024-04-11,Produto C,80,589.08
2023-07-26,Produto A,80,862.21
2023-12-16,Produto A,84,925.88
2024-03-06,Produto C,18,576.18
2022-11-13,Produto C,40,56.24
2023-11-28,Produto D,25,665.65
2023-02-22,Produto B,91,425.14
2023-08-31,Produto C,35,975.32
2023-04-25,Produto B,64,863.18
2022-12-02,Produto B,56,450.7
2023-06-09,Produto B,68,69.9
2023-03-25,Produto A,56,569.03
2022-09-15,Produto C,38,544.52
2022-10-02,Produto C,52,275.55
2023-06-13,Produto C,18,181.07
2024-03-04,Produto B,92,249.08
2022-10-25,Produto A,12,474.71
2023-07-30,Produto B,45,573.86
2023-10-06,Produto A,67,799.84
2023-07-05,Produto B,20,840.68
2023-10-01,Produto C,82,991.89
2022-09-03,Produto B,3,129.37
2024-06-12,Produto C,91,232.02
2023-07-21,Produto B,82,224.49
2023-04-03,Produto D,65,746.26
2024-04-20,Produto B,52,32.09
2024-02-04,Produto A,17,740.69
2024-01-06,Produto A,23,396.99
2024-05-19,Produto D,52,256.99
2023-11-24,Produto C,100,811.06
2023-03-31,Produto B,60,411.68
2022-08-08,Produto A,37,439.82
2024-01-17,Produto A,93,888.8
2023-05-31,Produto D,26,69.89
2023-11-17,Produto A,59,71.04
2024-02-23,Produto B,82,108.56
2024-05-26,Produto B,71,997.81
2022-07-18,Produto D,87,48.07
2023-02-12,Produto D,72,88.6
2022-10-27,Produto C,60,196.9
2023-09-15,Produto D,100,345.77
2024-01-02,Produto B,22,533.42
2024-05-25,Produto C,15,568.23
2022-09-04,Produto C,22,296.96
2023-02-22,Produto C,45,201.35
2023-02-03,Produto D,58,493.89
2023-11-06,Produto D,79,62.42
2023-03-05,Produto A,22,178.09
2024-05-25,Produto A,51,186.66
2024-01-08,Produto A,85,161.56
2023-05-12,Produto D,90,478.42
2022-12-23,Produto B,10,849.09
2022-10-16,Produto C,3,35.29
2023-03-07,Produto D,84,173.17
2022-10-13,Produto D,92,682.1
2023-02-19,Produto B,51,639.44
2024-01-09,Produto A,83,584.77
2024-04-05,Produto A,40,689.77
2024-06-02,Produto C,76,407.28
2022-11-16,Produto D,94,440.39
2024-01-18,Produto B,83,121.1
2023-07-12,Produto A,54,585.6
2023-04-25,Produto C,79,793.03
2023-02-09,Produto C,95,339.72
2022-10-14,Produto A,49,830.74
2023-01-09,Produto B,66,669.64
2023-07-05,Produto D,84,381.92
2023-02-18,Produto A,51,292.08
2024-01-14,Produto B,78,931.5
2023-03-30,Produto C,36,888.29
2023-04-06,Produto B,22,563.45
2023-04-28,Produto B,86,23.96
2024-01-09,Produto D,53,801.22
2023-07-23,Produto C,70,141.49
2023-07-18,Produto D,37,11.21
2023-12-24,Produto C,58,317.76
2023-03-20,Produto C,38,538.26
2023-05-04,Produto D,2,428.46
2023-04-10,Produto D,28,308.65
2023-10-06,Produto B,59,956.17
2022-08-27,Produto A,27,288.96
2022-10-05,Produto B,61,319.2
2022-12-10,Produto C,100,833.89
2022-12-19,Produto C,86,57.98
2023-07-26,Produto D,51,867.25
2023-03-16,Produto D,65,617.97
2023-12-26,Produto C,23,428.68
2024-06-08,Produto C,25,222.42
2024-05-08,Produto B,8,601.23
2024-05-27,Produto B,80,998.62
2023-10-22,Produto C,75,201.27
2023-02-14,Produto C,60,554.34
2024-02-14,Produto D,68,661.84
2023-08-23,Produto C,8,387.74
2023-02-03,Produto C,72,462.55
2023-03-14,Produto C,92,813.68
2023-08-08,Produto A,59,183.47
2023-04-05,Produto C,86,557.93
2023-02-17,Produto C,59,563.35
2023-05-29,Produto A,1,753.01
2023-12-26,Produto A,97,736.66
2023-07-31,Produto A,84,768.36
2024-02-27,Produto C,30,374.15
2022-10-19,Produto C,29,491.23
2022-12-06,Produto D,1,970.15
2022-12-22,Produto D,100,747.41
2024-03-04,Produto A,45,841.54
2023-02-12,Produto D,25,55.31
2022-10-28,Produto A,9,477.07
2023-06-03,Produto C,15,416.54
2022-07-20,Produto D,41,848.2
2023-12-19,Produto D,71,610.85
2023-07-16,Produto A,39,756.08
2022-12-24,Produto C,34,278.5
2023-11-20,Produto B,39,899.76
2023-06-03,Produto B,35,117.53
2022-08-11,Produto A,47,956.65
